Species,P111,P112,P121,P122,P131,P132,P211,P212,P221,P222,P231,P232,P311,P312,P321,P322,P331,P332,P411,P412,P421,P422,P431,P432,P511,P512,P521,P522,P531,P532,P611,P612,P621,P622,P631,P632
Equisetum sylvaticum L.,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
Eriophorum angustifolium Honck.,,,,,,,,0.6,35,,,,1,,0.5,0.3,,5,,,,1,,,,,0.2,,,,0.8,0.8,2,3,0.5,
Eriophorum latifolium Hoppe,,,,,,,,,,8,,8,,0.8,,,,,,,,,,,,,,,,,,,,,,
Eriophorum vaginatum L.,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
Festuca pratensis Huds.,,5,5,0.1,0.2,0.5,,,,,,,,,,,,,8,3,1,1,,3,,,,,,,,,,,,
Festuca rubra aggr.,20,5,,,15,,8,1,,30,0.3,0.3,,5,4,5,15,15,,,,1,2,,8,,,2,30,8,2,10,1,3,3,20
Filipendula ulmaria (L.) Maxim.,,,,,35,,,,,,,,10,1,20,,,,0.5,20,8,2,25,0.1,,,,35,,,30,30,40,30,0.05,30
Galium palustre L.,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.2,,,,,,
Galium pumilum Murray,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
Galium uliginosum L.,,,,,,,,,,0.05,,0.1,0.2,0.01,,0.5,0.3,1,,,,,,,,0.01,,0.01,0.5,2,0.2,0.2,0.5,0.05,0.1,0.3
Geranium sylvaticum L.,,,,,,,,,,,,,0.05,0.7,18,,,,,,,,5,,,,,,,,12,15,12,,,
Geum rivale L.,,,,,,,,,,,,,,,,,,,,0.8,,0.1,12,,,,0.5,,,12,,0.1,10,,,
Gymnadenia conopsea (L.) R. Br.,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,0.001
Helictotrichon pubescens (Huds.) Pilg.,,,,,2,1,20,2,0.5,,,0.3,0.2,0.05,2,1,,,,,,0.1,5,,3,2,1,,3,,,5,,,0.5,
Heracleum sphondylium L. subsp. sphondylium,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,
Hieracium lactucella Wallr.,,,,,,,1,1,,0.5,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5
Holcus lanatus L.,0.8,0.2,6,,,,1,0.5,1,2,0.3,0.01,2,,,,,,7,10,10,,,,0.1,,1,0.5,0.3,,,,,,,
Hypericum maculatum Crantz subsp. maculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
Hypericum tetrapterum Fr.,,,,,,,,,,,,,,,,,,,0.05,0.1,,,,,,,,,,,,,,,,
Juncus effusus L.,0.1,10,12,1,0.1,0.4,2,5,,,,,,,3,,,1,30,12,50,4,0.8,1,10,5,3,30,6,0.1,0.05,0.2,0.2,15,5,0.1
Juncus inflexus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
Lathyrus pratensis L.,,0.8,1,0.5,1,0.3,0.2,1,0.5,,1,0.8,1.5,0.4,0.2,0.1,,,0.8,2,,1,1,1,0.2,2,0.6,,0.2,3,0.3,0.3,0.8,,0.05,0.8
Leontodon hispidus L. subsp. hispidus,,,,,,,0.001,,,,0.5,,,18,5,,,,,,,,,,,,,,,,,,,3,0.3,2
Leontodon hispidus subsp. danubialis (Jacq.) Simonk.,,,,,,,,0.3,0.05,,,,12,,,,,,,,,,,,,,,,,,,,,,,
